neuron_id,super_class,class,cell_type,side,nt_type,nt_score,x,y,z
720575940628523113,visual_projection,,LPLC4,left,ACH,0.75,371.1,191.6,220.1
720575940628532623,optic,ME.LO,LMa2,left,GABA,0.78,356.2,290.1,146.1
720575940628537852,central,,CB0431,right,ACH,0.7,602.5,247.8,208.9
720575940628545406,visual_projection,,LC16,left,ACH,0.48,378.9,289.2,153.4
720575940628552247,visual_projection,,LPLC2,left,ACH,0.74,383.1,206.1,225.2
720575940628561767,central,,"LAL028, LAL029",left,ACH,0.83,440.3,158.7,104.4
720575940628573519,central,ALLN,vLN25,right,GLUT,0.57,622.7,310.4,47.9
720575940628579066,central,,PVLP123c,right,ACH,0.71,560.7,225.8,142.9
720575940628599895,visual_projection,,LC4,right,ACH,0.58,667.8,281.5,133.3
720575940628603842,visual_projection,,LPLC2,right,ACH,0.6,710.0,184.6,166.9
720575940628606713,visual_projection,,LC4,right,ACH,0.6,668.0,284.9,130.1
720575940628621316,sensory,olfactory,ORN_DM1,left,ACH,0.45,474.9,248.7,16.6
720575940628627867,descending,,DNbe003,right,ACH,0.84,556.2,285.9,23.8
720575940628641127,central,,CL140,left,GABA,0.78,407.5,187.7,208.2
720575940628653255,visual_projection,,LTe42a,right,ACH,0.87,719.6,179.8,140.5
720575940628678991,central,,WED125,right,ACH,0.74,600.4,191.5,194.8
720575940628699560,visual_projection,,LC4,left,ACH,0.56,344.8,226.7,168.2
720575940628716294,visual_projection,,LPLC1,left,ACH,0.61,397.2,290.3,190.6
720575940628743496,visual_projection,,HSS,right,ACH,0.34,692.8,236.6,233.3
720575940628749111,sensory,olfactory,ORN_DM1,right,ACH,0.45,592.7,273.1,4.8
720575940628778058,visual_projection,,LPLC2,right,ACH,0.61,678.4,206.0,198.2
720575940628779898,central,,CB3114,left,ACH,0.71,464.2,223.5,139.8
720575940628789374,visual_projection,,LC16,right,ACH,0.67,661.0,315.6,120.3
720575940628793621,central,,PVLP017,left,GABA,0.69,378.7,244.0,149.2
720575940628800277,sensory,olfactory,ORN_DM1,left,ACH,0.4,420.0,244.9,48.0
720575940628802069,central,,CB0880,left,ACH,0.86,469.3,321.5,100.7
720575940628822248,central,ALLN,lLN2X02,right,GABA,0.51,580.2,291.2,16.4
720575940628847164,visual_projection,,LPLC2,left,ACH,0.52,383.3,250.1,224.0
720575940628849668,visual_projection,,LPLC2,right,ACH,0.5,694.6,192.3,173.6
720575940628851697,optic,LO>ME,LMa1,right,GLUT,0.58,638.4,290.0,195.1
720575940628853239,sensory,gustatory,LB3,left,ACH,0.69,466.5,375.7,123.0
720575940628883535,descending,,DNge099,right,GLUT,0.61,515.7,327.6,231.9
720575940628884486,visual_projection,,LPLC1,right,ACH,0.64,668.5,215.8,195.0
720575940628884496,descending,,DNp03,right,ACH,0.65,574.4,141.5,160.8
720575940628885160,descending,,DNpe049,right,ACH,0.78,602.7,202.1,206.0
720575940628891863,visual_projection,,LC4,right,ACH,0.55,685.4,281.2,120.3
720575940628914436,central,ALLN,lLN2X12,left,ACH,0.28,458.4,229.6,56.4
720575940628921303,visual_projection,,LPLC2,left,ACH,0.51,388.6,217.8,216.9
720575940628962407,sensory,gustatory,"LB1a,LB1d",right,SER,0.51,557.1,347.6,109.0
720575940628976956,visual_projection,,LPLC2,left,ACH,0.54,366.7,226.1,219.6
720575940628990214,visual_projection,,LPLC2,right,ACH,0.48,681.8,210.3,181.2
720575940628995884,visual_projection,,LC16,left,ACH,0.51,379.7,290.1,147.4
720575940628998396,visual_projection,,LPLC1,right,ACH,0.6,677.3,210.0,190.2
720575940629025324,sensory,gustatory,LB3,left,ACH,0.46,465.4,372.5,135.8
720575940629047340,visual_projection,,LPLC1,left,ACH,0.61,382.4,205.0,215.8
720575940629065078,central,,CB1852,right,ACH,0.91,709.6,203.4,92.2
720575940629123454,central,,CB0564,left,GLUT,0.65,411.8,304.4,157.4
720575940629146711,sensory,gustatory,LB1c,left,ACH,0.35,489.0,344.9,108.5
720575940629148007,visual_projection,,HSE,right,ACH,0.5,704.4,248.1,216.8
720575940629153020,visual_projection,,HSE,left,ACH,0.48,395.6,223.5,229.9
720575940629176663,sensory,gustatory,LB3,left,ACH,0.59,493.8,334.2,112.8
720575940629177655,central,,LAL053,left,GLUT,0.74,455.2,228.7,97.0
720575940629179900,optic,LO,Li24,left,GABA,0.67,351.4,289.0,136.4
720575940629192975,central,,PVLP021,right,GABA,0.76,611.2,206.0,109.2
720575940629212887,central,,LAL153,left,ACH,0.88,470.1,189.6,194.2
720575940629245937,visual_projection,,LPLC1,left,ACH,0.61,329.5,238.8,205.7
720575940629249783,central,,AVLP531,left,GABA,0.84,390.7,247.4,174.2
720575940629256779,central,,PVLP019,left,GABA,0.85,392.5,222.5,68.8
720575940629292785,visual_projection,,LPLC2,left,ACH,0.49,348.4,174.7,198.9
720575940629310970,central,,PVLP123c,left,ACH,0.73,418.5,220.4,151.0
720575940629320010,visual_projection,,LPLC4,left,ACH,0.83,348.1,189.9,203.4
720575940629325611,visual_projection,,LPLC1,right,ACH,0.65,670.3,220.9,193.2
720575940629327659,descending,,DNa02,left,ACH,0.79,460.5,239.6,128.5
720575940629350782,sensory,olfactory,ORN_DM1,left,ACH,0.43,504.7,221.2,30.5
720575940629357676,visual_projection,,LPLC4,right,ACH,0.82,712.4,182.5,186.1
720575940629357932,visual_projection,,LPLC4,right,ACH,0.84,676.6,219.3,178.0
720575940629358321,central,,AVLP500,left,ACH,0.83,417.3,220.9,196.6
720575940629368015,visual_projection,,LPLC2,left,ACH,0.71,386.3,206.3,222.4
720575940629378754,central,,CB0076,left,GABA,0.56,490.1,359.7,135.8
720575940629382903,central,,PVLP008,left,GLUT,0.72,383.9,126.6,109.3
720575940629384271,visual_projection,,LPLC2,right,ACH,0.53,694.3,199.8,167.2
720575940629388135,sensory,gustatory,LB3,right,ACH,0.63,553.5,329.6,111.1
720575940629416318,sensory,gustatory,"LB1a,LB1d",right,SER,0.41,569.3,368.0,116.8
720575940629426025,central,,PLP034,left,GLUT,0.77,351.9,189.4,170.0
720575940629437178,central,,CL316,right,GABA,0.71,673.7,179.2,192.5
720575940629437545,central,,LAL054,right,GLUT,0.67,684.3,223.4,63.7
720575940629461442,descending,,DNb05,right,ACH,0.89,545.7,283.0,51.4
720575940629473847,central,,AVLP575,right,ACH,0.77,654.3,208.9,178.2
720575940629478956,central,,CB1986,right,ACH,0.88,701.2,261.3,87.2
720575940629481516,sensory,gustatory,LB1b,right,SER,0.72,550.9,334.8,108.5
720575940629489116,visual_projection,,LPLC1,right,ACH,0.69,674.9,215.5,191.2
720575940629489414,central,,CB2700,left,GABA,0.89,398.4,300.9,155.5
720575940629493356,visual_projection,,LC16,right,ACH,0.64,665.8,309.3,118.7
720575940629502251,descending,,DNbe007,right,ACH,0.8,551.5,284.7,31.5
720575940629510338,sensory,gustatory,LB3,right,ACH,0.38,556.4,344.2,110.4
720575940629513222,optic,LOP>ME.LO,Am1,left,GABA,0.85,359.8,230.9,263.9
720575940629513478,central,,AVLP538,right,DA,0.67,669.9,209.0,179.4
720575940629517049,visual_projection,,LPLC4,right,ACH,0.8,700.9,192.9,174.0
720575940629525882,visual_projection,,LTe65,right,ACH,0.86,594.7,195.6,179.8
720575940629547991,central,,"LAL160,LAL161",left,ACH,0.78,493.8,208.4,77.0
720575940629602871,central,,PVLP122b,left,ACH,0.67,426.2,220.0,147.3
720575940629638186,central,,"PVLP004,PVLP005",right,GLUT,0.54,666.4,143.2,79.9
720575940629638443,visual_projection,,LPLC1,left,ACH,0.56,385.2,210.9,213.5
720575940629640960,visual_projection,,LC16,right,ACH,0.72,659.3,317.9,125.1
720575940629661381,visual_projection,,LPLC1,left,ACH,0.58,369.9,202.1,203.0
720575940629677112,central,,CB3400,right,ACH,0.86,669.8,310.0,92.2
720575940629701737,central,,CB0010,left,GABA,0.56,444.6,350.0,125.3
720575940629728732,sensory,olfactory,ORN_DM1,right,SER,0.49,563.6,247.9,6.2
720575940629753807,visual_projection,,LC4,left,ACH,0.53,336.9,216.5,167.0
720575940629757036,descending,,DNp04,right,ACH,0.86,617.4,213.7,208.4
720575940629766266,central,,CB0021,left,GABA,0.71,438.8,295.5,50.1
720575940629766615,central,,CB0013,right,GABA,0.46,588.2,316.7,58.6
720575940629768722,central,,PLP228,right,ACH,0.81,611.0,211.7,215.8
720575940629777018,descending,,DNp11,right,ACH,0.72,650.6,221.0,144.3
